Unnamed: 0,COD,Descrição do Ativo,VAB,VAR %,ULT,OFC,OFV,MAX,MIN,ABE,VOL,ULT NEG,VOL ULT,HORA,Flags,RN,Notas,Feed
,TIMS3,TIM ON,"-0,36","-2,27%","15,51","15,50","15,51","15,80","15,44","15,76",3.436.600,"15,51",100,15:23:28,,,Anotar,Com atraso
,TOTS3,TOTVS ON,"-0,07","-0,23%","30,52","30,51","30,52","30,92","30,02","30,49",2.892.300,"30,52",100,15:23:28,,,Anotar,Com atraso
,UGPA3,ULTRAPAR ON,"-0,04","-0,18%","21,71","21,71","21,72","21,83","21,40","21,57",2.224.900,"21,71",100,15:23:29,,,Anotar,Com atraso
,USIM5,USIMINAS PNA,"-0,03","-0,42%","7,15","7,14","7,15","7,18","7,07","7,11",3.025.800,"7,15",500,15:23:28,,,Anotar,Com atraso
,VALE3,VALE ON,"-0,39","-0,64%","60,23","60,23","60,24","60,35","59,84","60,04",9.854.400,"60,23",100,15:23:30,,,Anotar,Com atraso
,VAMO3,Vamos ON,"-0,15","-2,05%","7,16","7,15","7,16","7,29","7,08","7,27",2.434.700,"7,16",100,15:23:19,,,Anotar,Com atraso
,VBBR3,Vibra Energia ON,"-0,30","-1,45%","20,42","20,40","20,42","20,73","20,26","20,70",2.125.000,"20,42",100,15:23:25,,,Anotar,Com atraso
,VIVT3,TELEF BRASIL ON,"-0,43","-0,96%","44,47","44,45","44,48","44,81","44,18","44,67",959.100,"44,47",100,15:23:25,,,Anotar,Com atraso
,WEGE3,WEG ON,"0,02","0,05%","38,79","38,78","38,79","39,27","38,40","38,60",5.273.900,"38,79",100,15:23:30,,,Anotar,Com atraso
,YDUQ3,ESTACIO PART ON,"-0,35","-3,12%","10,87","10,86","10,87","11,12","10,74","11,11",2.731.300,"10,87",400,15:23:03,,,Anotar,Com atraso
